Month,Reported by,Falls within,Longitude,Latitude,Location,Crime type
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.296052,54.460466,On or near Gilpin Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.817655,54.844955,On or near Bank Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.473063,54.785251,On or near Church Square,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.70515,55.167383,On or near Cappagh More Manor,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.697255,54.593135,On or near Lower Mary Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.98988,54.569725,On or near Appleton Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.928538,54.595555,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.987619,54.573865,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.700645,54.538373,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.919951,54.647108,On or near Shore Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.934686,54.59637,On or near Murray Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.9476,54.635863,On or near Upper Castle Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.811999,54.716394,On or near Thomas Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.316702,54.377624,On or near Cooneen Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.269485,54.595835,On or near Riverview Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.669572,54.634298,On or near Ardvanagh Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.93151,54.609874,On or near Queens Parade,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.659934,54.360456,On or near Drumbreda Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.943083,54.548901,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.740642,54.254395,On or near Clanmaghery Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.312218,54.611357,On or near Meelmore Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.646715,55.126477,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.32279,55.003489,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.358973,54.880505,On or near Cardonaghy Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.329145,54.176579,On or near Church Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.814929,54.850459,On or near Circular Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.951717,54.58232,On or near Northbrook Gardens,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.230454,54.477456,On or near Glebe Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.279064,55.010442,On or near Madam'S Bank Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.878378,54.601955,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.013858,54.75466,On or near Thornhill Parade,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.71204,54.336301,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.942638,54.603155,On or near Dover Place,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,,,No Location,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.931955,54.603844,On or near Union Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.979548,54.578511,On or near Andersonstown Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.739946,54.647727,On or near Limekiln Lane,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.911627,54.550761,On or near Martinville Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.32083,54.997442,On or near Magazine Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.186043,54.705572,On or near Hollowburn Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.654781,54.35243,On or near Lisanally Lane,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.946454,55.045852,On or near Mullagh Place,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.837279,54.641508,On or near Hibernia Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,,,No Location,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.930154,54.597254,On or near Donegall Square North,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.592757,54.333161,On or near Churchtown Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,,,No Location,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.936073,54.599844,On or near Millfield,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,,,No Location,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.653563,54.347367,On or near Scotch Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.933651,54.595113,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.339619,54.176616,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.038708,54.548945,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.943706,54.627082,On or near Old Westland Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.666117,55.134632,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.943389,54.583966,On or near Lisburn Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.520907,55.207014,On or near Silverstream Court,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.646521,55.19057,On or near Hopefield Gardens,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.678475,54.606901,On or near Beverley Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.325668,55.033148,On or near Ederowen Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.361176,54.85042,On or near Wilmohr Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.975951,54.621417,On or near Glenbank Place,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.298243,55.001455,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.608684,54.761894,On or near The Brambles,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.926802,54.598958,On or near Ann Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.942307,54.597758,On or near Lisfaddan Way,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.942025,55.041161,On or near Glenview Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.922779,54.580101,On or near Candahar Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.849355,54.710854,On or near Dunmore Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.948962,55.047482,On or near Irish Green Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.011017,54.566912,On or near Blacks Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.617188,54.330979,On or near Blackstick Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.92559,54.585657,On or near Dudley Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.933651,54.595113,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.925693,54.583035,On or near Jerusalem Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.927854,54.573683,On or near Annadale Crescent,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.701729,54.387821,On or near Ballytroddan Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.933006,54.587985,On or near Botanic Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.21119,54.619255,On or near Tromery Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.447324,54.424609,On or near Park Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.911673,54.596415,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.74201,54.647632,On or near Union Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.226103,54.61382,On or near Hawkes Crescent,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.662444,54.643523,On or near Ballyree Walk,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.767941,54.503681,On or near Castle Gardens,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.933651,54.595113,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.687285,54.533431,On or near Collowen,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.711497,54.647902,On or near Old Belfast Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.689658,54.597231,On or near Victoria Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.931179,54.593507,On or near Bedford Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.017252,54.57289,On or near Carrigart Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.923664,54.633236,On or near Lowwood Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.980351,54.417574,On or near Moore Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.274092,54.389705,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.044499,54.513512,On or near Railway Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.76147,54.396372,On or near Downpatrick Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.698368,54.538088,On or near Mourne Crescent,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.257501,54.337642,On or near Rathfriland Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.538824,54.642735,On or near Moat Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.932166,54.590217,On or near Pakenham Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.93543,54.595116,On or near Glengall Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.182563,54.708117,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.313263,54.312607,On or near Grogey Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.886516,54.599626,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.685665,54.59941,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.441045,54.398841,On or near Tandragee Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.887962,54.214234,On or near Donard Place,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.923358,54.600947,On or near Queens Square,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.881321,54.583749,On or near Houston Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.006428,55.043653,On or near Kings Lane,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.255424,54.544665,On or near Drumart Crescent,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.994863,54.567454,On or near Ladybrook Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.677489,54.637532,On or near Beechfield Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.212749,54.718511,On or near Mount Oriel Court,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.318785,54.992697,On or near John Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.441213,54.422032,On or near Sandy Row,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.076658,54.523211,On or near Beechwood Grove,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.322053,54.999964,On or near Strand Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.928592,54.599366,On or near Corn Market,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.711357,54.755328,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.889043,54.211988,On or near Downs Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.940605,54.600811,On or near Fingals Court,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.279709,54.863308,On or near Clonavon Terrace,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.076658,54.523211,On or near Beechwood Grove,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.710843,54.646856,On or near Rathgael Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.323456,54.459726,On or near Lime Grove,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.744438,54.647756,On or near Union Place,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.919951,54.647108,On or near Shore Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.999369,54.573324,On or near Conor Close,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.443067,54.426755,On or near Park Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.391034,54.449486,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.658606,55.208472,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.66969,55.129973,On or near Society Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.807505,54.59486,On or near Upper Newtownards Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.923358,54.600947,On or near Queens Square,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.275819,54.868688,On or near Thomas Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.314524,54.377171,On or near Spout Gardens,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.274676,54.350127,On or near Scarva Walk,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.713986,54.329221,On or near Saul Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.699716,54.540403,On or near Washingbay Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.468575,54.422445,On or near Baltylum Meadows,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.958673,54.669582,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.304349,54.993612,On or near Shepherds Grove,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.951823,54.670167,On or near Church Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.931152,54.608997,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.045273,54.512186,On or near Wardsborough Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.270209,54.865455,On or near Glenshesk Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.336355,54.465277,On or near William Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.69387,54.447166,On or near Benburb Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.051205,54.510826,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.888655,54.59598,On or near Bloomfield Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.271575,54.346677,On or near Old Kenlis Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.576806,54.546177,On or near Main Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.933066,54.591086,On or near Dublin Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.271575,54.346677,On or near Old Kenlis Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.680808,54.653509,On or near Clandeboye Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.681025,54.555563,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.452561,54.404227,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.016169,54.55475,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.105998,54.699289,On or near Templeton Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.934622,54.595794,On or near Howard Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.316047,54.452391,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.96517,54.595126,On or near Beechmount Grove,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.905881,54.593188,On or near Woodstock Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.337331,54.160744,On or near Fathom Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.940605,54.600811,On or near Fingals Court,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.928221,54.608794,On or near Earl Close,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,,,No Location,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.204454,54.798322,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.916516,54.574009,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.931803,54.622395,On or near Skegoneill Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.626064,54.338661,On or near Menapian Way,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.312772,54.37708,On or near Spout Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.823326,54.723966,On or near Glynn Walk,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.686988,54.594089,On or near Zion Place Roundabout,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.705261,55.173152,On or near Millrush Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.278558,55.004672,On or near Drumgesh Gardens,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.94338,54.581064,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.940605,54.600811,On or near Fingals Court,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.981579,54.602508,On or near Black Mountain Walk,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.928221,54.608794,On or near Earl Close,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.65275,54.346343,On or near Linenhall Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.591624,54.711518,On or near Lurganboy Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.309858,54.451028,On or near Shannaghmore Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.222254,54.894716,On or near Shane Manor,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.681332,54.601313,On or near Rosevale Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.949183,55.045004,On or near Josephine Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.970873,54.59993,On or near Isadore Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,,,No Location,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.943228,54.581636,On or near Eglantine Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.028937,54.551553,On or near Lagmore Grove,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.938228,54.619962,On or near Antrim Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.152914,54.415747,On or near Beech Grove,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.306331,54.598927,On or near Cunningham Terrace,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.923238,54.596012,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.878378,54.601955,On or near ,Anti-social behaviour
